,text,favourite_count,retweet_count,created_at
73,RT @LgbtqIndia: Global acceptance of LGBTQ community gained momentum across world in 2021: A report by the US-based Pew Research Centre htt…,0,0,2021-12-29 08:41:38+00:00
74,"RT @LgbtqIndia: Singles, queers seek legal route to beat surrogacy bill, become parents https://t.co/Cd2Ua8wJMw via @timesofindia",0,0,2021-12-29 08:19:15+00:00
75,@LgbtqIndia 👌,0,0,2021-12-29 08:15:31+00:00
76,"RT @LgbtqIndia: Singles, queers seek legal route to beat surrogacy bill, become parents https://t.co/Cd2Ua8wJMw via @timesofindia",0,0,2021-12-29 06:44:41+00:00
77,"RT @LgbtqIndia: Singles, queers seek legal route to beat surrogacy bill, become parents https://t.co/Cd2Ua8wJMw via @timesofindia",0,0,2021-12-29 06:39:51+00:00
78,RT @LgbtqIndia: Why my partner gets a say in how I run my condom brand https://t.co/uO6KKeLw4s,0,0,2021-12-29 06:24:33+00:00
79,RT @LgbtqIndia: Maharashtra's first trans advocate says ‘people still refuse to sit next to us on trains’ https://t.co/q0ihmyNL7o,0,0,2021-12-29 06:24:21+00:00
80,..they face. The Ministry of Social Justice &amp; Empowerment is working for their #welfare through different #schemes… https://t.co/d2OJnmbzYg,1,0,2021-12-29 06:15:16+00:00
81,RT @LgbtqIndia: Maharashtra's first trans advocate says ‘people still refuse to sit next to us on trains’ https://t.co/q0ihmyNL7o,0,0,2021-12-29 06:01:23+00:00
82,"RT @LgbtqIndia: NCERT pulled up by Madras HC, told to begin training on transgender inclusion next year https://t.co/td4mM3XCzD",0,0,2021-12-29 05:23:00+00:00
83,@LgbtqIndia wat n cute.s,0,0,2021-12-28 20:49:38+00:00
84,RT @LgbtqIndia: Madras High Court directs the Union Government to extend the scope of 'Garima Greh' Scheme to all members of the LGBTQIA+ C…,0,0,2021-12-28 15:18:31+00:00
85,RT @LgbtqIndia: Madras High Court directs the Union Government to extend the scope of 'Garima Greh' Scheme to all members of the LGBTQIA+ C…,0,0,2021-12-28 14:54:41+00:00
86,RT @LgbtqIndia: Come Up With Glossary Of Expressions To Address LGBTQ: High Court To Tamil Nadu https://t.co/iJyHuEGqpx via @ndtv,0,0,2021-12-28 14:13:20+00:00
87,RT @LgbtqIndia: This Indian gay couple said ‘I do’ in Gibraltar https://t.co/EzzSbjEgqN via @cntindia,0,0,2021-12-28 14:13:03+00:00
